,Title,Company,Location,Level,Technologies
0,DevOps Senior Engineer,FIS,['Beograd'],['Senior'],"['Linux', 'Windows', 'Docker', 'Kubernetes', 'Microsoft SQL Server', 'MongoDB', 'Agile']"
1,Web Developer,FIS,['Beograd'],['Senior'],"['JavaScript', 'Angular', 'Bootstrap', 'HTML', 'CSS', 'REST', 'WebSockets', 'Java']"
2,Senior Consultant SAP S/4HANA,Camelot IT Lab,['Beograd'],['Senior'],"['SAP S', '4HANA']"
3,Senior Java Full Stack Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Senior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'UML', 'Git', 'Jenkins', 'SQL']"
4,Java Software Engineer,Zuhlke Engineering,"['Beograd', 'Remote']",['Medior'],"['Java', 'OOP', 'Spring', 'JavaScript', 'Angular', 'ReactJS', 'Git', 'Jenkins', 'UML', 'SQL']"
5,Product Owner,ERYCE AG,['Novi Sad'],['Medior'],"['Agile', 'SCRUM']"
6,Python Developer,ERYCE AG,['Novi Sad'],"['Medior', 'Senior']","['Python', 'Django', 'SQL', 'Docker']"
7,Full Stack Java Developer,ERYCE AG,['Novi Sad'],['Medior'],"['Java', 'JavaScript', 'OOP', 'NoSQL', 'Spring', 'Hibernate']"
8,Junior C# Developer,OSM,['Beograd'],['Junior'],"['C#', 'HTTP', 'TCP/IP']"
9,SQL Developer,OSM,['Beograd'],"['Medior', 'Senior']","['SQL', 'DDL', 'SSIS', 'C#', 'VB.NET']"
10,Project Manager,umlaut,['Beograd'],"['Medior', 'Senior']","['5GNR', 'LTE', 'UMTS', 'GSM']"
11,Software Engineer 2,Microsoft Development Centar Srbija,['Beograd'],['Medior'],"['C++', 'C#', 'SQL Server', 'Azure', 'Cloud', 'Microsoft SQL Server', 'Distributed Systems']"
12,Senior Software Engineering Manager,Microsoft Development Centar Srbija,['Beograd'],['Senior'],"['C++', 'C#', 'SQL Server', 'Azure', 'Cloud', 'Microsoft SQL Server', 'Distributed Systems']"
13,Senior Software Engineer,Microsoft Development Centar Srbija,['Beograd'],['Senior'],"['C++', 'C#', 'SQL Server', 'Azure', 'Cloud', 'Microsoft SQL Server', 'Distributed Systems']"
14,Senior Back-end Developer,Gi Group HR Solutions,"['Niš', 'Remote']",['Senior'],"['.NET', 'ASP.NET', 'Azure', 'C#', 'Web API']"
15,Senior Frontend Developer,Oddity,['Beograd'],['Senior'],"['JavaScript', 'ReactJS', 'ECMAScript 6+', 'HTML', 'CSS', 'CSS3', 'SCRUM', 'AngularJS']"
16,IT Scholarship,Schneider Electric,['Novi Sad'],['Junior'],"['.NET', 'C#', 'C++', 'C', 'Fortran', 'PowerShell', 'Python', 'JavaScript', 'SQL']"
17,Senior Software Developer,Asseco SEE,['Beograd'],['Senior'],"['C#', 'ASP.NET', 'Delphi', 'IIS', 'MS SQL']"
18,Full Stack Developer,Asseco SEE,['Beograd'],"['Medior', 'Senior']","['.NET', 'C#', 'Angular', 'SQL', 'HTML5', 'JavaScript', 'CSS', 'Docker', 'PostgreSQL', 'ActiveMQ', '.NET Core', 'Camunda BPM']"
19,DevOps Engineer,Asseco SEE,['Beograd'],['Medior'],"['Kubernetes', 'Azure', 'AWS', 'VMWare', 'Linux', 'Windows', 'Helm Charts', 'CI/CD']"
20,Software Developer,umlaut,['Beograd'],"['Junior', 'Medior', 'Senior']","['AWS', 'Docker', 'Linux', 'SQL', 'Git', 'Python', 'CI/CD', 'IPsec']"
21,Big Data Analyst / Data Scientist,umlaut,['Beograd'],"['Medior', 'Senior']","['Apache', 'AWS', 'Scala', 'Python', 'Hadoop', 'Hive', 'Impala', 'Spark', 'Pig', 'R']"
22,AWS Backend Developer (Python),globaldatanet,['Beograd'],"['Medior', 'Senior']","['REST', 'Python', 'AWS', 'Django', 'GraphQL']"
23,Software Developer,Inovatec,"['Beograd', 'Kragujevac']","['Medior', 'Senior']","['.NET', 'C#', 'ASP.NET', 'MVC', 'HTML', 'JavaScript', 'CSS', 'AngularJS', 'Knockout', 'Microsoft SQL Server']"
24,C++ Game Developer,Team Sava,"['Beograd', 'Novi Sad']","['Medior', 'Senior']","['C++', 'Lua']"
25,Java Engineer,Daon,"['Beograd', 'Novi Sad']",['Medior'],"['Java', 'Spring', 'Hibernate', 'SOAP']"
26,Frontend Developer,Daon,"['Beograd', 'Novi Sad']",['Medior'],"['HTML', 'JavaScript', 'Angular', 'jQuery', 'CSS', 'REST']"
27,Senior Java Engineer,Daon,"['Beograd', 'Novi Sad']",['Senior'],"['Java', 'Spring', 'REST', 'Hibernate', 'SOAP']"
28,Automation Test Engineer,Daon,"['Beograd', 'Novi Sad']",['Medior'],"['REST', 'SOAP', 'SoapUI', 'JMeter']"
29,Java Developer,SAP,['Beograd'],"['Medior', 'Senior']","['Java', 'Kafka', 'Redis', 'Gradle', 'Spring Boot', 'JavaScript']"
30,Medior/Senior React Developer,Nul Tien,['Beograd'],"['Medior', 'Senior']","['ReactJS', 'Vue.js', 'HTML', 'CSS', 'JavaScript', 'Bootstrap']"
31,Senior Data Scientist-Voice,Daon,"['Beograd', 'Novi Sad']",['Senior'],"['C++', 'Python']"
32,Data Scientist-Voice,Daon,"['Beograd', 'Novi Sad']","['Junior', 'Medior']","['C++', 'Python']"
33,NodeJS Software Engineer,Team Sava,"['Beograd', 'Novi Sad']","['Medior', 'Senior']","['NodeJS', 'JavaScript']"
34,Python Engineer,Team Sava,"['Beograd', 'Novi Sad']",['Medior'],"['Python', 'Cloud']"
35,Director of Delivery,VICERT,['Beograd'],['Senior'],"['Wrike', 'Git', 'GSuite']"
36,FullStack (MERN) Developer,Spartans AI,['Beograd'],"['Medior', 'Senior']","['JavaScript', 'NodeJS', 'ReactJS', 'MS SQL', 'NoSQL', 'AWS', 'Agile', 'Git']"
37,.NET Developer,Exlrt,"['Novi Sad', 'Niš']","['Medior', 'Senior']","['.NET', 'Azure', 'OOP', 'C#', 'SQL', 'MVC', 'Entity Framework']"
38,Cybersecurity Engineer,Control4 Europe,['Beograd'],['Senior'],"['IDA Pro', 'Burp Suite', 'Acunetix', 'Tenable', 'Rapid7', 'Veracode', 'Jira']"
39,.NET Developer,VICERT,"['Beograd', 'Remote']",['Medior'],"['.NET', 'C#', 'MS SQL', 'SQL', 'VB.NET', 'VBScript', 'MVC']"
40,Java Developer,Endava,"['Beograd', 'Kragujevac', 'Čačak']",['Senior'],"['Java', 'RESTFull', 'Git', 'Svn', 'Perforce']"
41,iOS Developer,Endava,['Beograd'],['Senior'],"['iOS', 'Swift', 'Objective-C', 'Git', 'Xamarin']"
42,Angular Frontend Developer,Team Sava,"['Beograd', 'Novi Sad']","['Medior', 'Senior']","['Angular', 'CSS', 'HTML', 'Electron framework']"
43,React Developer,Team Sava,"['Beograd', 'Novi Sad']","['Medior', 'Senior']","['JavaScript', 'ReactJS', 'CSS', 'HTML', 'REST']"
44,.NET Developer,Blumind,['Remote'],"['Junior', 'Medior', 'Senior']","['.NET', 'C#', 'Azure', 'PostgreSQL']"
45,Senior Java Developer,Jaggaer,"['Beograd', 'Novi Sad']",['Senior'],"['SQL', 'MVC', 'Struts', 'Spring', 'Git', 'Svn', 'jQuery', 'AngularJS']"
46,R Software Engineer,Seven Bridges,['Beograd'],"['Medior', 'Senior']","['R', 'Computer Science']"
47,Junior .NET Developer,Engineering Software Lab,['Beograd'],['Junior'],"['C#', 'ASP.NET', 'SOA', 'Visual Studio']"
48,Java Backend Developer,Engineering Software Lab,['Beograd'],"['Junior', 'Medior']","['Java', 'Spring', 'SQL', 'RESTFull', 'Maven']"
49,Full Stack Developer,Engineering Software Lab,['Beograd'],"['Junior', 'Medior']","['Angular', 'Java', 'HTML5', 'RESTFull', 'Spring']"
50,Angular Developer,Engineering Software Lab,['Beograd'],"['Junior', 'Medior']","['Angular', 'HTML5', 'CSS', 'RESTFull', 'Visual Studio Code']"
51,ReactJS developer,Kroon Studio,['Beograd'],['Medior'],"['ReactJS', 'JavaScript', 'CSS', 'CSS3', 'Git', 'Agile', 'RESTFull']"
52,Senior Back-end Software Engineer - Cloud Services,Control4 Europe,['Beograd'],['Senior'],"['Java', 'RESTFull', 'AWS', 'PostgreSQL', 'SQL Server', 'Docker', 'Kubernetes', 'CI/CD']"
53,Software Engineer – Cloud Services Front-end,Control4 Europe,['Beograd'],"['Medior', 'Senior']","['ASP.NET', 'Angular', 'ReactJS', 'JavaScript', 'TypeScript', 'Cordova', 'RESTFull', 'HTML5', 'CSS3', 'CI/CD']"
54,Front-End Software Development Engineer,Control4 Europe,['Beograd'],"['Medior', 'Senior']","['ReactJS', 'Vue.js', 'JavaScript', 'TypeScript', 'HTML5', 'CSS3', 'RESTFull', 'Git', 'CI/CD']"
55,"Senior Software Engineer, Billing",TeleSign,['Beograd'],['Senior'],"['Python', 'Java', 'C#']"
56,System Administrator,TeleSign,['Beograd'],"['Junior', 'Medior']","['Apache', 'VMware', 'AWS', 'PostgreSQL', 'ElasticSearch', 'Cassandra']"
57,Senior Android Developer,Darwin Digital ,['Beograd'],['Senior'],"['Java', 'Kotlin', 'Android SDK', 'Android NDK']"
58,Software Tester/Data Pipeline Team,Jaggaer,"['Beograd', 'Novi Sad']","['Junior', 'Medior', 'Senior']","['Jira', 'AWS', 'Azure', 'Selenium', 'MySQL', 'Oracle', 'Ranorex', 'Tosca', 'DDL/DML SQL', 'Snowflake']"
59,Software Engineer C++,TeleSign,['Beograd'],['Medior'],"['C++', 'Linux', 'REST', 'Redis', 'ELK Stack', 'Python']"
60,Oracle Developer,Engineering Software Lab,['Beograd'],"['Medior', 'Senior']","['Oracle', 'RDBMS R12', 'PL/SQL']"
61,Senior .NET Developer,Engineering Software Lab,['Beograd'],['Senior'],"['C#', 'ASP.NET', 'SOA', 'Visual Studio 2015', 'Superior', 'HTML5', 'CSS3', 'jQuery', 'XML', 'JavaScript', 'Bootstrap']"
62,Android Developer,MENU Technologies,"['Novi Sad', 'Remote']","['Medior', 'Senior']","['REST', 'JSON', 'OOP', 'Git']"
63,Backend Developer,MENU Technologies,"['Novi Sad', 'Remote']","['Medior', 'Senior']","['PHP', 'MySQL', 'Symfony', 'MVC', 'Git', 'UnitTest', 'Laravel', 'JSON', 'REST']"
64,Frontend Developer,MENU Technologies,"['Novi Sad', 'Remote']","['Medior', 'Senior']","['HTML5', 'CSS3', 'SASS', 'JavaScript', 'jQuery', 'Vue.js', 'Git']"
65,iOS Developer,MENU Technologies,"['Novi Sad', 'Remote']","['Medior', 'Senior']","['REST', 'JSON', 'OOP', 'Swift', 'Objective-C']"
66,QA Engineer,MENU Technologies,"['Novi Sad', 'Remote']","['Medior', 'Senior']","['API', 'Runscope', 'Appium', 'JIRA']"
67,UX Designer,Jaggaer,"['Beograd', 'Novi Sad']","['Medior', 'Senior']","['Adobe InDesign', 'InVision', 'Sketch', 'Figma']"
68,Junior Technical Support Specialist,Seven Bridges,['Beograd'],['Junior'],"['Linux', 'Python', 'Java', 'Databases']"
69,Senior Java Software Engineer,Seven Bridges,"['Beograd', 'Novi Sad']",['Senior'],['Java']
70,IT Service Sector Manager,sTECH,['Beograd'],['Senior'],"['ITIL', 'VMware', 'Network Administrator']"
71,"Full Stack Developer, Vice President",BlackRock (Former eFront),['Beograd'],['Senior'],"['C#', '.NET', 'ReactJS', 'TypeScript', 'Azure', 'MS SQL']"
72,Full Stack Engineer,Red-Black Tree,['Beograd'],"['Medior', 'Senior']","['HTML', 'CSS', 'JavaScript', 'Angular', 'ReactJS', 'Vue.js', 'RxJS', 'NgRx']"
